wd25cd,wd25nm,lad25cd,lad25nm
E05014818,Astley Bridge,E08000001,Bolton
E05014819,Bradshaw,E08000001,Bolton
E05014820,Breightmet,E08000001,Bolton
E05014821,Bromley Cross,E08000001,Bolton
E05014822,Farnworth North,E08000001,Bolton
E05014823,Farnworth South,E08000001,Bolton
E05014824,Great Lever,E08000001,Bolton
E05014825,Halliwell,E08000001,Bolton
E05014826,"Heaton, Lostock & Chew Moor",E08000001,Bolton
E05014827,Horwich North,E08000001,Bolton
E05014828,Horwich South & Blackrod,E08000001,Bolton
E05014829,Hulton,E08000001,Bolton
E05014830,Kearsley,E08000001,Bolton
E05014831,Little Lever & Darcy Lever,E08000001,Bolton
E05014832,Queens Park & Central,E08000001,Bolton
E05014833,Rumworth,E08000001,Bolton
E05014834,Smithills,E08000001,Bolton
E05014835,Tonge with the Haulgh,E08000001,Bolton
E05014836,Westhoughton North & Hunger Hill,E08000001,Bolton
E05014837,Westhoughton South,E08000001,Bolton
E05014152,Besses,E08000002,Bury
E05014153,Bury East,E08000002,Bury
E05014154,Bury West,E08000002,Bury
E05014155,Elton,E08000002,Bury
E05014156,Holyrood,E08000002,Bury
E05014157,Moorside,E08000002,Bury
E05014158,North Manor,E08000002,Bury
E05014159,Pilkington Park,E08000002,Bury
E05014160,Radcliffe East,E08000002,Bury
E05014161,Radcliffe North & Ainsworth,E08000002,Bury
E05014162,Radcliffe West,E08000002,Bury
E05014163,Ramsbottom,E08000002,Bury
E05014164,Redvales,E08000002,Bury
E05014165,Sedgley,E08000002,Bury
E05014166,St. Mary's,E08000002,Bury
E05014167,Tottington,E08000002,Bury
E05014168,Unsworth,E08000002,Bury
E05011350,Ancoats & Beswick,E08000003,Manchester
E05011351,Ardwick,E08000003,Manchester
E05011352,Baguley,E08000003,Manchester
E05011353,Brooklands,E08000003,Manchester
E05011354,Burnage,E08000003,Manchester
E05011355,Charlestown,E08000003,Manchester
E05011356,Cheetham,E08000003,Manchester
E05011357,Chorlton,E08000003,Manchester
E05011358,Chorlton Park,E08000003,Manchester
E05011359,Clayton & Openshaw,E08000003,Manchester
E05011360,Crumpsall,E08000003,Manchester
E05011361,Deansgate,E08000003,Manchester
E05011362,Didsbury East,E08000003,Manchester
E05011363,Didsbury West,E08000003,Manchester
E05011364,Fallowfield,E08000003,Manchester
E05011365,Gorton & Abbey Hey,E08000003,Manchester
E05011366,Harpurhey,E08000003,Manchester
E05011367,Higher Blackley,E08000003,Manchester
E05011368,Hulme,E08000003,Manchester
E05011369,Levenshulme,E08000003,Manchester
E05011370,Longsight,E08000003,Manchester
E05011371,Miles Platting & Newton Heath,E08000003,Manchester
E05011372,Moss Side,E08000003,Manchester
E05011373,Moston,E08000003,Manchester
E05011374,Northenden,E08000003,Manchester
E05011375,Old Moat,E08000003,Manchester
E05011376,Piccadilly,E08000003,Manchester
E05011377,Rusholme,E08000003,Manchester
E05011378,Sharston,E08000003,Manchester
E05011379,Whalley Range,E08000003,Manchester
E05011380,Withington,E08000003,Manchester
E05011381,Woodhouse Park,E08000003,Manchester
