postcode,lon,lat
BL0 0AA,-2.312381,53.647755
BL0 0AB,-2.312474,53.647989
BL0 0AD,-2.313284,53.649155
BL0 0AE,-2.313003,53.650251
BL0 0AG,-2.30967,53.647331
BL0 0AH,-2.312907,53.649237
BL0 0AJ,-2.303785,53.647542
BL0 0AL,-2.310051,53.647645
BL0 0AN,-2.308077,53.644648
BL0 0AP,-2.309334,53.646837
BL0 0AQ,-2.309426,53.64708
BL0 0AR,-2.309437,53.646442
BL0 0AS,-2.309076,53.644735
BL0 0AT,-2.308394,53.646597
BL0 0AU,-2.30784,53.647318
BL0 0AW,-2.307563,53.644676
BL0 0AX,-2.304724,53.647416
BL0 0AY,-2.30527,53.647639
BL0 0AZ,-2.308129,53.647587
BL0 0BA,-2.309635,53.64867
BL0 0BB,-2.310556,53.650733
BL0 0BD,-2.30851,53.650021
BL0 0BE,-2.307225,53.650115
BL0 0BG,-2.308994,53.650038
BL0 0BH,-2.307956,53.6488
BL0 0BJ,-2.309206,53.647925
BL0 0BL,-2.304942,53.648269
BL0 0BN,-2.309661,53.648399
BL0 0BQ,-2.308353,53.651352
BL0 0BS,-2.313429,53.646288
BL0 0BT,-2.310364,53.647077
BL0 0BU,-2.310218,53.647939
BL0 0BY,-2.306979,53.645423
BL0 0BZ,-2.30527,53.645554
BL0 0DA,-2.305538,53.644852
BL0 0DB,-2.304765,53.644647
BL0 0DD,-2.301401,53.646013
BL0 0DE,-2.303571,53.649081
BL0 0DF,-2.303849,53.649881
BL0 0DG,-2.3042,53.652414
BL0 0DH,-2.303691,53.646834
BL0 0DJ,-2.302515,53.647322
BL0 0DL,-2.303957,53.647993
BL0 0DN,-2.303631,53.653162
BL0 0DP,-2.304181,53.650004
BL0 0DQ,-2.30108,53.653977
BL0 0DR,-2.304497,53.65165
BL0 0DS,-2.304609,53.652422
BL0 0DT,-2.320654,53.645477
BL0 0DU,-2.308816,53.652519
BL0 0DW,-2.303172,53.652444
BL0 0DX,-2.303554,53.653018
BL0 0DZ,-2.302739,53.653317
BL0 0EA,-2.302949,53.653074
BL0 0ED,-2.30387,53.654923
BL0 0EE,-2.302751,53.654917
BL0 0EF,-2.303314,53.655401
BL0 0EG,-2.303318,53.660182
BL0 0EH,-2.303151,53.655868
BL0 0EJ,-2.304012,53.655927
BL0 0EL,-2.302935,53.65524
BL0 0EP,-2.303008,53.657064
BL0 0EQ,-2.303446,53.661411
BL0 0ER,-2.303741,53.658024
BL0 0ES,-2.303444,53.66311
BL0 0FA,-2.310206,53.592627
BL0 0FH,-2.310206,53.592627
BL0 0FN,-2.310206,53.592627
BL0 0FR,-2.310206,53.592627
BL0 0FW,-2.310206,53.592627
BL0 0FX,-2.310206,53.592627
BL0 0FY,-2.310206,53.592627
BL0 0FZ,-2.310206,53.592627
BL0 0GA,-2.310206,53.592627
BL0 0GB,-2.310206,53.592627
BL0 0GD,-2.310206,53.592627
BL0 0GE,-2.310206,53.592627
BL0 0HD,-2.303064,53.650143
BL0 0HH,-2.30176,53.653841
BL0 0ND,-2.309753,53.658611
BL0 0PP,-2.316743,53.652463
BL0 0PR,-2.31674,53.654054
BL0 0PS,-2.316243,53.654396
BL0 0PT,-2.315996,53.651701
BL0 0PU,-2.316708,53.651789
BL0 0PX,-2.315733,53.652906
BL0 0RJ,-2.298043,53.665568
BL0 0RX,-2.294608,53.65891
BL0 0RZ,-2.295941,53.663338
BL0 0SE,-2.304079,53.654509
BL0 0SF,-2.310206,53.592627
BL0 0SQ,-2.304079,53.654509
BL0 0WA,-2.310206,53.592627
BL0 0WW,-2.310206,53.592627
BL0 0WX,-2.310206,53.592627
BL0 0WY,-2.310206,53.592627
BL0 0WZ,-2.310206,53.592627
BL0 0XB,-2.310206,53.592627
BL0 0YX,-2.310206,53.592627
BL0 0YY,-2.310206,53.592627
BL0 0ZW,-2.310206,53.592627
BL0 9AA,-2.316613,53.64725
BL0 9AB,-2.314923,53.648025
BL0 9AD,-2.317546,53.648578
BL0 9AE,-2.319381,53.64913
BL0 9AF,-2.319435,53.648285
BL0 9AG,-2.317878,53.648478
BL0 9AH,-2.322181,53.649356
BL0 9AJ,-2.318245,53.649239
BL0 9AL,-2.315323,53.646714
BL0 9AN,-2.316435,53.6477
BL0 9AP,-2.315893,53.635855
BL0 9AQ,-2.316271,53.648042
BL0 9AR,-2.310206,53.592627
BL0 9AS,-2.316612,53.647266
BL0 9AT,-2.318208,53.648126
BL0 9AU,-2.316217,53.642811
BL0 9AW,-2.318464,53.645879
BL0 9AX,-2.317714,53.644739
BL0 9AY,-2.317889,53.645862
BL0 9AZ,-2.316454,53.646145
BL0 9BA,-2.317633,53.64811
BL0 9BB,-2.317869,53.647211
BL0 9BD,-2.317699,53.646807
BL0 9BE,-2.317885,53.647381
BL0 9BF,-2.310206,53.592627
BL0 9BG,-2.315441,53.64835
BL0 9BH,-2.318173,53.647497
BL0 9BJ,-2.317632,53.647957
BL0 9BL,-2.31789,53.648109
BL0 9BN,-2.315353,53.648914
BL0 9BP,-2.315579,53.648493
BL0 9BQ,-2.315123,53.648287
BL0 9BR,-2.316492,53.649291
BL0 9BS,-2.317141,53.649028
BL0 9BT,-2.316666,53.650315
BL0 9BU,-2.317293,53.651212
BL0 9BW,-2.31578,53.649059
BL0 9BX,-2.317772,53.652487
BL0 9BY,-2.317621,53.650688
BL0 9BZ,-2.315983,53.647926
BL0 9DA,-2.318299,53.65218
BL0 9DB,-2.317185,53.644822
BL0 9DD,-2.319287,53.64878
BL0 9DE,-2.318287,53.638563
BL0 9DF,-2.317825,53.637396
BL0 9DG,-2.320715,53.651463
BL0 9DH,-2.318742,53.648736
BL0 9DJ,-2.31784,53.64944
BL0 9DL,-2.32148,53.652666
BL0 9DN,-2.321468,53.651066
BL0 9DP,-2.322251,53.652565
BL0 9DQ,-2.32084,53.652011
BL0 9DR,-2.323205,53.650898
BL0 9DS,-2.323276,53.650358
BL0 9DT,-2.321687,53.649996
BL0 9DU,-2.321029,53.649081
BL0 9DW,-2.320163,53.650744
BL0 9DX,-2.320005,53.647726
BL0 9DY,-2.319495,53.648195
BL0 9DZ,-2.318109,53.647012
BL0 9EA,-2.31998,53.646333
BL0 9EB,-2.320495,53.646413
BL0 9ED,-2.32126,53.647606
BL0 9EE,-2.322296,53.648529
BL0 9EF,-2.322092,53.647613
BL0 9EG,-2.322516,53.64967
BL0 9EH,-2.324039,53.647032
BL0 9EJ,-2.322511,53.646946
BL0 9EL,-2.320868,53.647697
BL0 9EN,-2.323487,53.650187
BL0 9EP,-2.323622,53.649892
BL0 9EQ,-2.32323,53.649956
BL0 9ER,-2.324,53.649774
BL0 9ES,-2.323759,53.648218
BL0 9ET,-2.324386,53.648811
BL0 9EU,-2.323931,53.648909
BL0 9EW,-2.323761,53.650206
BL0 9EX,-2.323855,53.648624
BL0 9EY,-2.323455,53.647816
BL0 9EZ,-2.323198,53.647843
BL0 9FA,-2.310206,53.592627
BL0 9FB,-2.326111,53.639394
BL0 9FD,-2.324,53.638008
BL0 9FE,-2.334029,53.630556
BL0 9FF,-2.318587,53.640153
BL0 9FG,-2.319554,53.639998
BL0 9FH,-2.314853,53.634392
BL0 9FJ,-2.31369,53.634539
BL0 9FL,-2.323483,53.645524
BL0 9FN,-2.317238,53.64785
BL0 9FP,-2.315101,53.649384
BL0 9FQ,-2.315358,53.635101
BL0 9FR,-2.323537,53.638719
BL0 9FS,-2.315101,53.649384
BL0 9FT,-2.310206,53.592627
BL0 9FU,-2.310206,53.592627
BL0 9FW,-2.315131,53.649312
BL0 9FX,-2.310206,53.592627
BL0 9FY,-2.333517,53.631068
BL0 9FZ,-2.318536,53.647647
BL0 9GA,-2.310206,53.592627
BL0 9GB,-2.31677,53.646
BL0 9GD,-2.310206,53.592627
BL0 9GE,-2.310206,53.592627
BL0 9GF,-2.323537,53.638719
BL0 9GG,-2.324254,53.641817
BL0 9GH,-2.323763,53.638674
BL0 9GJ,-2.323537,53.638719
BL0 9GL,-2.324224,53.641844
BL0 9GN,-2.323537,53.638719
BL0 9GP,-2.323537,53.638719
BL0 9GQ,-2.323537,53.638719
BL0 9GR,-2.310206,53.592627
BL0 9GS,-2.319269,53.640554
BL0 9GT,-2.310206,53.592627
BL0 9GU,-2.310206,53.592627
BL0 9GW,-2.310206,53.592627
BL0 9GX,-2.321155,53.641773
BL0 9GY,-2.310206,53.592627
BL0 9GZ,-2.310649,53.638439
BL0 9HA,-2.324815,53.647533
BL0 9HB,-2.32524,53.647712
BL0 9HD,-2.325238,53.647496
BL0 9HE,-2.324965,53.647434
BL0 9HF,-2.325834,53.646335
BL0 9HG,-2.325986,53.644715
BL0 9HH,-2.326083,53.647233
BL0 9HJ,-2.325258,53.644207
BL0 9HL,-2.323424,53.643726
BL0 9HN,-2.326789,53.644678999999996
BL0 9HP,-2.32098,53.652586
BL0 9HQ,-2.324186,53.648362
BL0 9HR,-2.320308,53.645748
BL0 9HS,-2.323902,53.642997
BL0 9HT,-2.317958,53.649008
BL0 9HU,-2.318537,53.647577
BL0 9HW,-2.314767,53.637071
BL0 9HX,-2.318941,53.647019
BL0 9HY,-2.318648,53.646274
BL0 9HZ,-2.318463,53.645744
BL0 9JA,-2.320045,53.645003
BL0 9JB,-2.319424,53.644887
BL0 9JD,-2.320567,53.643941
BL0 9JE,-2.32188,53.643605
BL0 9JF,-2.321416,53.644298
BL0 9JG,-2.321494,53.644558
BL0 9JH,-2.321846,53.645043
BL0 9JJ,-2.322871,53.644555
BL0 9JL,-2.323827,53.644966
BL0 9JN,-2.324372,53.645
BL0 9JP,-2.320931,53.642052
BL0 9JQ,-2.320788,53.645243
BL0 9JR,-2.322324,53.642318
BL0 9JS,-2.33569,53.634012
BL0 9JT,-2.321643,53.642238999999996
BL0 9JU,-2.322378,53.643486
BL0 9JW,-2.322623,53.643881
BL0 9JX,-2.320553,53.64217
BL0 9JY,-2.320594,53.641604
BL0 9JZ,-2.319745,53.6413
BL0 9LA,-2.316832,53.640176
BL0 9LB,-2.314768,53.639165
BL0 9LD,-2.313323,53.63834
BL0 9LE,-2.31575,53.639028
BL0 9LF,-2.316665,53.638055
BL0 9LG,-2.318624,53.641097
BL0 9LH,-2.316824,53.639034
BL0 9LJ,-2.316133,53.637724
BL0 9LL,-2.315532,53.638193
BL0 9LN,-2.319722,53.64424
BL0 9LP,-2.319388,53.650146
