postcode,ward_code,ward_name,msoa_code,msoa_hcl_name,lsoa_code,lsoa_name,la_code,la_name,lon,lat
M14 6YH,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.21426,53.438586
M14 6YJ,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.215017,53.439402
M14 6YL,E05011380,Withington,E02001080,Ladybarn,E01005310,Manchester 036C,E08000003,Manchester,-2.213508,53.438839
M14 6YN,E05011380,Withington,E02001080,Ladybarn,E01005310,Manchester 036C,E08000003,Manchester,-2.213117,53.438884
M14 6YP,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.217217,53.439875
M14 6YQ,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.216036,53.438511
M14 6YR,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.215058,53.438746
M14 6YS,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.2143640000000002,53.438424
M14 6YT,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.214951,53.438351
M14 6YU,E05011380,Withington,E02001080,Ladybarn,E01005310,Manchester 036C,E08000003,Manchester,-2.214263,53.439305
M14 6YW,E05011380,Withington,E02001080,Ladybarn,E01005310,Manchester 036C,E08000003,Manchester,-2.212878,53.439298
M14 6YX,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.221204,53.439373
M14 6YY,E05011364,Fallowfield,E02001076,Fallowfield Central,E01034128,Manchester 032F,E08000003,Manchester,-2.213961,53.445076
M14 6YZ,E05011364,Fallowfield,E02001076,Fallowfield Central,E01034128,Manchester 032F,E08000003,Manchester,-2.21354,53.445095
