postcode,ward_code,ward_name,msoa_code,msoa_hcl_name,lsoa_code,lsoa_name,la_code,la_name,lon,lat
M14 6NY,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.221204,53.439373
M14 6NZ,E05011364,Fallowfield,E02001076,Fallowfield Central,E01005185,Manchester 032B,E08000003,Manchester,-2.21825,53.441689
M14 6PA,E05011364,Fallowfield,E02001076,Fallowfield Central,E01034128,Manchester 032F,E08000003,Manchester,-2.210633,53.441783
M14 6PB,E05011364,Fallowfield,E02001076,Fallowfield Central,E01034128,Manchester 032F,E08000003,Manchester,-2.208164,53.441761
M14 6PD,E05011364,Fallowfield,E02001076,Fallowfield Central,E01034128,Manchester 032F,E08000003,Manchester,-2.206251,53.441728
M14 6PE,E05011377,Rusholme,E02001076,Fallowfield Central,E01034128,Manchester 032F,E08000003,Manchester,-2.205957,53.443032
M14 6PF,E05011377,Rusholme,E02001070,Rusholme East,E01005280,Manchester 026A,E08000003,Manchester,-2.206461,53.444604
M14 6PG,E05011364,Fallowfield,E02001076,Fallowfield Central,E01034128,Manchester 032F,E08000003,Manchester,-2.208478,53.441365
M14 6PH,E05011377,Rusholme,E02001070,Rusholme East,E01005280,Manchester 026A,E08000003,Manchester,-2.206906,53.44623
M14 6PJ,E05011377,Rusholme,E02001070,Rusholme East,E01005280,Manchester 026A,E08000003,Manchester,-2.206198,53.446276
M14 6PL,E05011377,Rusholme,E02001070,Rusholme East,E01005280,Manchester 026A,E08000003,Manchester,-2.205501,53.445406
M14 6PN,E05011364,Fallowfield,E02001076,Fallowfield Central,E01034128,Manchester 032F,E08000003,Manchester,-2.206763,53.44161
M14 6PP,E05011364,Fallowfield,E02001076,Fallowfield Central,E01034128,Manchester 032F,E08000003,Manchester,-2.208689,53.441517
M14 6PQ,E05011364,Fallowfield,E02001076,Fallowfield Central,E01034128,Manchester 032F,E08000003,Manchester,-2.208404,53.441634
M14 6PR,E05011364,Fallowfield,E02001076,Fallowfield Central,E01034128,Manchester 032F,E08000003,Manchester,-2.210677,53.441666
M14 6PS,E05011364,Fallowfield,E02001076,Fallowfield Central,E01034128,Manchester 032F,E08000003,Manchester,-2.210691,53.441379
M14 6PT,E05011364,Fallowfield,E02001076,Fallowfield Central,E01034128,Manchester 032F,E08000003,Manchester,-2.210781,53.441253
M14 6PU,E05011364,Fallowfield,E02001076,Fallowfield Central,E01034128,Manchester 032F,E08000003,Manchester,-2.210704,53.440983
M14 6PW,E05011364,Fallowfield,E02001076,Fallowfield Central,E01034128,Manchester 032F,E08000003,Manchester,-2.206731,53.441359
M14 6PX,E05011364,Fallowfield,E02001076,Fallowfield Central,E01034128,Manchester 032F,E08000003,Manchester,-2.208869,53.441229
M14 6PY,E05011364,Fallowfield,E02001076,Fallowfield Central,E01034128,Manchester 032F,E08000003,Manchester,-2.208386,53.440987
M14 6PZ,E05011364,Fallowfield,E02001076,Fallowfield Central,E01034128,Manchester 032F,E08000003,Manchester,-2.20667,53.441206
M14 6QA,E05011364,Fallowfield,E02001076,Fallowfield Central,E01034128,Manchester 032F,E08000003,Manchester,-2.206519,53.440963000000004
M14 6QB,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.221158,53.439355
M14 6QD,E05011380,Withington,E02001080,Ladybarn,E01005310,Manchester 036C,E08000003,Manchester,-2.209645,53.439951
M14 6QE,E05011380,Withington,E02001080,Ladybarn,E01005310,Manchester 036C,E08000003,Manchester,-2.20966,53.439879
M14 6QF,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.221204,53.439373
M14 6QG,E05011380,Withington,E02001080,Ladybarn,E01005310,Manchester 036C,E08000003,Manchester,-2.210667,53.439536
M14 6QH,E05011380,Withington,E02001080,Ladybarn,E01005310,Manchester 036C,E08000003,Manchester,-2.212493,53.44053
M14 6QJ,E05011380,Withington,E02001080,Ladybarn,E01005310,Manchester 036C,E08000003,Manchester,-2.211452,53.440002
M14 6QL,E05011380,Withington,E02001080,Ladybarn,E01005310,Manchester 036C,E08000003,Manchester,-2.210233,53.440184
M14 6QN,E05011380,Withington,E02001080,Ladybarn,E01005310,Manchester 036C,E08000003,Manchester,-2.207947,53.440476
M14 6QP,E05011380,Withington,E02001080,Ladybarn,E01005310,Manchester 036C,E08000003,Manchester,-2.209188,53.438864
M14 6QQ,E05011380,Withington,E02001080,Ladybarn,E01005310,Manchester 036C,E08000003,Manchester,-2.210408,53.439033
M14 6QR,E05011380,Withington,E02001080,Ladybarn,E01005310,Manchester 036C,E08000003,Manchester,-2.20856,53.439728
M14 6QS,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.221204,53.439373
M14 6QT,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.214268,53.437327
M14 6QU,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.212914,53.437465
M14 6QW,E05011380,Withington,E02001080,Ladybarn,E01005310,Manchester 036C,E08000003,Manchester,-2.20668,53.439992
M14 6QX,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.211529,53.437449
M14 6QY,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.214216,53.435934
M14 6QZ,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.2072600000000002,53.438661
M14 6RA,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.215692,53.436066
M14 6RB,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.216053,53.435994
M14 6RD,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.214939,53.436041
M14 6RE,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.214822,53.436715
M14 6RF,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.214175,53.436734
M14 6RG,E05011380,Withington,E02001080,Ladybarn,E01005310,Manchester 036C,E08000003,Manchester,-2.213231,53.437662
M14 6RH,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.214924,53.436041
M14 6RJ,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.221204,53.439373
M14 6RL,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.214886,53.437461
M14 6RN,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.214919,53.437964
M14 6RP,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.215807,53.437945
M14 6RQ,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.213691,53.436187
M14 6RR,E05011380,Withington,E02001080,Ladybarn,E01005310,Manchester 036C,E08000003,Manchester,-2.212104,53.437871
M14 6RS,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.212236,53.437322
M14 6RT,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.210763,53.437702
M14 6RU,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.210279,53.437334
M14 6RW,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.213902,53.436357
M14 6RX,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.208175,53.437913
M14 6RY,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.208026,53.438228
M14 6RZ,E05011380,Withington,E02001080,Ladybarn,E01005310,Manchester 036C,E08000003,Manchester,-2.211669,53.438294
M14 6SA,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.210523,53.437972
M14 6SB,E05011380,Withington,E02001080,Ladybarn,E01005310,Manchester 036C,E08000003,Manchester,-2.21224,53.438032
M14 6SD,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.210769,53.43594
M14 6SE,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.209329,53.433831
M14 6SF,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.217563,53.439937
M14 6SG,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.209975,53.433524
M14 6SH,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.221204,53.439373
M14 6SJ,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.213308,53.434812
M14 6SL,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.213413,53.434839
M14 6SN,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.221204,53.439373
M14 6SP,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.214621,53.43552
M14 6SQ,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.213428,53.434839
M14 6SR,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.21254,53.434868
M14 6SS,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.217929,53.440772
M14 6ST,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.212226,53.43521
M14 6SU,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.211836,53.435489
M14 6SW,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.221204,53.439373
M14 6SX,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.211248,53.43531
M14 6SY,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.21155,53.435517
M14 6SZ,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.210901,53.435194
M14 6TA,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.210554,53.435087
M14 6TB,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.209577,53.435241
M14 6TD,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.209941,53.435951
M14 6TE,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.207809,53.437078
M14 6TF,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.208563,53.437266
M14 6TG,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.212262,53.436468
M14 6TH,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.209524,53.436788
M14 6TJ,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.211009,53.435697
M14 6TL,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.211416,53.435921
M14 6TN,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.212908,53.436143
M14 6TP,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.213404,53.436008
M14 6TQ,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.211689,53.436279999999996
M14 6TR,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.213092,53.436907
M14 6TS,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.208964,53.43606
M14 6TT,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.210364,53.436193
M14 6TU,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.208182,53.436304
M14 6TW,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.208784,53.43633
M14 6TX,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.213343,53.435828
M14 6TY,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.2133,53.436241
M14 6TZ,E05011380,Withington,E02001080,Ladybarn,E01005311,Manchester 036D,E08000003,Manchester,-2.211375,53.436721
M14 6UA,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.220325,53.438413
M14 6UB,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.218734,53.439144
M14 6UD,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.218281,53.438902
M14 6UE,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.21745,53.4384
M14 6UF,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.21784,53.437995
M14 6UG,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.219101,53.437426
M14 6UH,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.220292,53.437793
M14 6UJ,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.220505,53.438161
M14 6UL,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.220635,53.437118
M14 6UN,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.220393,53.43684
M14 6UP,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.221699,53.436279999999996
M14 6UQ,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.219701,53.43694
M14 6UR,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.219335,53.435997
M14 6US,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.21747,53.436476
M14 6UT,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.217963,53.435747
M14 6UU,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.217272,53.435991
M14 6UW,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.220978,53.436551
M14 6UX,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.217773,53.436844
M14 6UY,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.2174,53.437411
M14 6UZ,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.215563,53.437325
M14 6WA,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.217633,53.438759
M14 6WB,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.218063,53.4375
M14 6WD,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.221267,53.43709
M14 6WE,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.218582,53.435962
M14 6WF,E05011364,Fallowfield,E02001076,Fallowfield Central,E01034128,Manchester 032F,E08000003,Manchester,-2.213083,53.441087
M14 6WG,E05011364,Fallowfield,E02001076,Fallowfield Central,E01034128,Manchester 032F,E08000003,Manchester,-2.212257,53.441412
M14 6WH,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.221204,53.439373
M14 6WJ,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.221204,53.439373
M14 6WL,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.221204,53.439373
M14 6WN,E05011364,Fallowfield,E02001076,Fallowfield Central,E01005185,Manchester 032B,E08000003,Manchester,-2.215931,53.44154
M14 6WP,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.214797,53.440652
M14 6WQ,E05011364,Fallowfield,E02001076,Fallowfield Central,E01034128,Manchester 032F,E08000003,Manchester,-2.213249,53.441203
M14 6WR,E05011364,Fallowfield,E02001076,Fallowfield Central,E01005185,Manchester 032B,E08000003,Manchester,-2.217559,53.441941
M14 6WS,E05011364,Fallowfield,E02001076,Fallowfield Central,E01005185,Manchester 032B,E08000003,Manchester,-2.215322,53.443222
M14 6WT,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.219606,53.438989
M14 6WU,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.220405,53.439186
M14 6WW,E05011364,Fallowfield,E02001076,Fallowfield Central,E01005185,Manchester 032B,E08000003,Manchester,-2.217028,53.441133
M14 6WX,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.221204,53.439373
M14 6WY,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.221204,53.439373
M14 6WZ,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.221204,53.439373
M14 6XA,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.216242,53.437629
M14 6XB,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.221204,53.439373
M14 6XD,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.221204,53.439373
M14 6XE,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.221204,53.439373
M14 6XF,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.222372,53.441169
M14 6XG,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.220805,53.440848
M14 6XH,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.218121,53.440071
M14 6XJ,E05011364,Fallowfield,E02001076,Fallowfield Central,E01005185,Manchester 032B,E08000003,Manchester,-2.217138,53.442068
M14 6XL,E05011364,Fallowfield,E02001076,Fallowfield Central,E01005185,Manchester 032B,E08000003,Manchester,-2.217044,53.444261
