postcode,lon,lat,area_code,area_name,geometry
M16 0EZ,-2.280968,53.450772,E05000832,Longford,"c(-2.280968, 53.450772)"
M16 0FF,-2.275189,53.456007,E05000832,Longford,"c(-2.275189, 53.456007)"
M16 0FG,-2.27405,53.456838,E05000825,Clifford,"c(-2.27405, 53.456838)"
M16 0FH,-2.277066,53.452813,E05000832,Longford,"c(-2.277066, 53.452813)"
M16 0FJ,-2.274001,53.456182,E05000825,Clifford,"c(-2.274001, 53.456182)"
M16 0FL,-2.276534,53.454324,E05000832,Longford,"c(-2.276534, 53.454324)"
M16 0FN,-2.275682,53.450668,E05000832,Longford,"c(-2.275682, 53.450668)"
M16 0FP,-2.276353,53.451898,E05000832,Longford,"c(-2.276353, 53.451898)"
M16 0FQ,-2.27405,53.456838,E05000825,Clifford,"c(-2.27405, 53.456838)"
M16 0FR,-2.275527,53.45234,E05000832,Longford,"c(-2.275527, 53.45234)"
M16 0FS,-2.277033,53.452337,E05000832,Longford,"c(-2.277033, 53.452337)"
M16 0FT,-2.274937,53.454238,E05000832,Longford,"c(-2.274937, 53.454238)"
M16 0FU,-2.279002,53.451739,E05000832,Longford,"c(-2.279002, 53.451739)"
M16 0FW,-2.275414,53.451172,E05000832,Longford,"c(-2.275414, 53.451172)"
M16 0FX,-2.282247,53.450653,E05000832,Longford,"c(-2.282247, 53.450653)"
M16 0FY,-2.281593,53.449737,E05000832,Longford,"c(-2.281593, 53.449737)"
M16 0FZ,-2.282227,53.449969,E05000832,Longford,"c(-2.282227, 53.449969)"
M16 0GA,-2.276964,53.450979,E05000832,Longford,"c(-2.276964, 53.450979)"
M16 0GB,-2.275496,53.454514,E05000832,Longford,"c(-2.275496, 53.454514)"
M16 0GD,-2.286292,53.458795,E05000832,Longford,"c(-2.286292, 53.458795)"
M16 0GE,-2.275805,53.45331,E05000832,Longford,"c(-2.275805, 53.45331)"
M16 0GF,-2.280418,53.449641,E05000832,Longford,"c(-2.280418, 53.449641)"
M16 0GG,-2.284375,53.449146,E05000832,Longford,"c(-2.284375, 53.449146)"
M16 0GH,-2.28079,53.453505,E05000832,Longford,"c(-2.28079, 53.453505)"
M16 0GJ,-2.279786,53.451926,E05000832,Longford,"c(-2.279786, 53.451926)"
M16 0GL,-2.281866,53.463543,E05000832,Longford,"c(-2.281866, 53.463543)"
M16 0GN,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0GP,-2.286857,53.45999,E05000832,Longford,"c(-2.286857, 53.45999)"
M16 0GQ,-2.283372,53.452259,E05000832,Longford,"c(-2.283372, 53.452259)"
M16 0GR,-2.281652,53.453979,E05000832,Longford,"c(-2.281652, 53.453979)"
M16 0GS,-2.285001,53.459437,E05000832,Longford,"c(-2.285001, 53.459437)"
M16 0GT,-2.286128,53.461304,E05000832,Longford,"c(-2.286128, 53.461304)"
M16 0GU,-2.287757,53.461668,E05000832,Longford,"c(-2.287757, 53.461668)"
M16 0GW,-2.287227,53.46121,E05000832,Longford,"c(-2.287227, 53.46121)"
M16 0GX,-2.287628,53.460401,E05000829,Gorse Hill,"c(-2.287628, 53.460401)"
M16 0GY,-2.285895,53.460208,E05000832,Longford,"c(-2.285895, 53.460208)"
M16 0GZ,-2.28467,53.454952,E05000832,Longford,"c(-2.28467, 53.454952)"
M16 0HA,-2.283745,53.449427,E05000832,Longford,"c(-2.283745, 53.449427)"
M16 0HB,-2.285176,53.449603,E05000832,Longford,"c(-2.285176, 53.449603)"
M16 0HD,-2.285457,53.451004,E05000832,Longford,"c(-2.285457, 53.451004)"
M16 0HE,-2.285264,53.451436,E05000832,Longford,"c(-2.285264, 53.451436)"
M16 0HF,-2.285122,53.452677,E05000832,Longford,"c(-2.285122, 53.452677)"
M16 0HG,-2.285031,53.454853,E05000832,Longford,"c(-2.285031, 53.454853)"
M16 0HH,-2.285395,53.453009,E05000832,Longford,"c(-2.285395, 53.453009)"
M16 0HJ,-2.277066,53.452813,E05000832,Longford,"c(-2.277066, 53.452813)"
M16 0HL,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0HN,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0HP,-2.278607,53.462679,E05000832,Longford,"c(-2.278607, 53.462679)"
M16 0HQ,-2.283606,53.460186,E05000832,Longford,"c(-2.283606, 53.460186)"
M16 0HR,-2.279249,53.452664,E05000832,Longford,"c(-2.279249, 53.452664)"
M16 0HS,-2.28074,53.452705,E05000832,Longford,"c(-2.28074, 53.452705)"
M16 0HT,-2.2811,53.452561,E05000832,Longford,"c(-2.2811, 53.452561)"
M16 0HU,-2.281641,53.452335,E05000832,Longford,"c(-2.281641, 53.452335)"
M16 0HW,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0HX,-2.282153,53.452414,E05000832,Longford,"c(-2.282153, 53.452414)"
M16 0HY,-2.282544,53.452216,E05000832,Longford,"c(-2.282544, 53.452216)"
M16 0HZ,-2.284124,53.452176,E05000832,Longford,"c(-2.284124, 53.452176)"
M16 0JA,-2.284391,53.451591,E05000832,Longford,"c(-2.284391, 53.451591)"
M16 0JB,-2.284736,53.45133,E05000832,Longford,"c(-2.284736, 53.45133)"
M16 0JD,-2.283633,53.453058,E05000832,Longford,"c(-2.283633, 53.453058)"
M16 0JE,-2.284132,53.453345,E05000832,Longford,"c(-2.284132, 53.453345)"
M16 0JF,-2.285173,53.453603,E05000832,Longford,"c(-2.285173, 53.453603)"
M16 0JG,-2.281941,53.454464,E05000832,Longford,"c(-2.281941, 53.454464)"
M16 0JH,-2.285325,53.453818,E05000832,Longford,"c(-2.285325, 53.453818)"
M16 0JJ,-2.277315,53.46563,E05000825,Clifford,"c(-2.277315, 53.46563)"
M16 0JL,-2.277081,53.452804,E05000832,Longford,"c(-2.277081, 53.452804)"
M16 0JN,-2.28545,53.454492,E05000832,Longford,"c(-2.28545, 53.454492)"
M16 0JP,-2.286652,53.454067,E05000832,Longford,"c(-2.286652, 53.454067)"
M16 0JQ,-2.280912,53.45373,E05000832,Longford,"c(-2.280912, 53.45373)"
M16 0JR,-2.28667,53.454534,E05000832,Longford,"c(-2.28667, 53.454534)"
M16 0JS,-2.28458,53.455015,E05000832,Longford,"c(-2.28458, 53.455015)"
M16 0JT,-2.283887,53.455035,E05000832,Longford,"c(-2.283887, 53.455035)"
M16 0JU,-2.28458,53.455015,E05000832,Longford,"c(-2.28458, 53.455015)"
M16 0JW,-2.284071,53.45543,E05000832,Longford,"c(-2.284071, 53.45543)"
M16 0JX,-2.27558,53.46043,E05000832,Longford,"c(-2.27558, 53.46043)"
M16 0JY,-2.283171,53.455963,E05000832,Longford,"c(-2.283171, 53.455963)"
M16 0JZ,-2.283812,53.455053,E05000832,Longford,"c(-2.283812, 53.455053)"
M16 0LA,-2.277074,53.458628,E05000832,Longford,"c(-2.277074, 53.458628)"
M16 0LB,-2.278518,53.45609,E05000832,Longford,"c(-2.278518, 53.45609)"
M16 0LD,-2.27466,53.457995,E05000832,Longford,"c(-2.27466, 53.457995)"
M16 0LE,-2.276551,53.459393,E05000832,Longford,"c(-2.276551, 53.459393)"
M16 0LF,-2.27652,53.456742,E05000832,Longford,"c(-2.27652, 53.456742)"
M16 0LG,-2.275831,53.457364,E05000832,Longford,"c(-2.275831, 53.457364)"
M16 0LH,-2.27673,53.46129,E05000832,Longford,"c(-2.27673, 53.46129)"
M16 0LJ,-2.275641,53.460663,E05000832,Longford,"c(-2.275641, 53.460663)"
M16 0LL,-2.27558,53.46043,E05000832,Longford,"c(-2.27558, 53.46043)"
M16 0LN,-2.276328,53.459655,E05000832,Longford,"c(-2.276328, 53.459655)"
M16 0LP,-2.277053,53.459959,E05000832,Longford,"c(-2.277053, 53.459959)"
M16 0LQ,-2.274679,53.458634000000004,E05000832,Longford,"c(-2.274679, 53.458634)"
M16 0LR,-2.276006,53.461175,E05000832,Longford,"c(-2.276006, 53.461175)"
M16 0LS,-2.276764,53.455007,E05000832,Longford,"c(-2.276764, 53.455007)"
M16 0LT,-2.276084,53.456887,E05000832,Longford,"c(-2.276084, 53.456887)"
M16 0LU,-2.277166,53.456561,E05000832,Longford,"c(-2.277166, 53.456561)"
M16 0LW,-2.275745,53.458074,E05000832,Longford,"c(-2.275745, 53.458074)"
M16 0LX,-2.278246,53.455911,E05000832,Longford,"c(-2.278246, 53.455911)"
M16 0LY,-2.277608,53.455104,E05000832,Longford,"c(-2.277608, 53.455104)"
M16 0LZ,-2.276888,53.455537,E05000832,Longford,"c(-2.276888, 53.455537)"
M16 0NA,-2.275413,53.455684,E05000832,Longford,"c(-2.275413, 53.455684)"
M16 0NB,-2.275474,53.46043,E05000832,Longford,"c(-2.275474, 53.46043)"
M16 0ND,-2.275029,53.459056,E05000832,Longford,"c(-2.275029, 53.459056)"
M16 0NE,-2.275568,53.458632,E05000832,Longford,"c(-2.275568, 53.458632)"
M16 0NF,-2.275686,53.455998,E05000832,Longford,"c(-2.275686, 53.455998)"
M16 0NG,-2.276406,53.457776,E05000832,Longford,"c(-2.276406, 53.457776)"
M16 0NH,-2.276819,53.458827,E05000832,Longford,"c(-2.276819, 53.458827)"
M16 0NJ,-2.278167,53.459992,E05000832,Longford,"c(-2.278167, 53.459992)"
M16 0NL,-2.282599,53.456062,E05000832,Longford,"c(-2.282599, 53.456062)"
M16 0NN,-2.278507,53.458922,E05000832,Longford,"c(-2.278507, 53.458922)"
M16 0NP,-2.281771,53.458357,E05000832,Longford,"c(-2.281771, 53.458357)"
M16 0NQ,-2.276949,53.457883,E05000832,Longford,"c(-2.276949, 53.457883)"
M16 0NR,-2.280723,53.459294,E05000832,Longford,"c(-2.280723, 53.459294)"
M16 0NS,-2.278377,53.45752,E05000832,Longford,"c(-2.278377, 53.45752)"
M16 0NT,-2.280693,53.457065,E05000832,Longford,"c(-2.280693, 53.457065)"
