postcode,lat,long
M16 0DQ,53.451828,-2.271398
M16 0DR,53.45278,-2.27178
M16 0DS,53.452966,-2.272911
M16 0DT,53.451464,-2.273564
M16 0DU,53.452883,-2.2741
M16 0DW,53.451722,-2.274002
M16 0DX,53.451319,-2.273955
M16 0DY,53.450871,-2.273455
M16 0EE,53.457321,-2.262773
M16 0EG,53.453082,-2.277158
M16 0EJ,53.456664,-2.275465
M16 0EL,53.454657,-2.276521
M16 0EN,53.453627,-2.274722
M16 0EP,53.451575,-2.27614
M16 0EQ,53.452928,-2.277639
M16 0ER,53.457321,-2.262773
M16 0ES,53.454138,-2.275539
M16 0ET,53.453296,-2.274374
M16 0EU,53.452962,-2.278573
M16 0EW,53.453147,-2.27621
M16 0EX,53.451462,-2.278292
M16 0EY,53.450921,-2.282565
M16 0EZ,53.450772,-2.280968
M16 0FF,53.456007,-2.275189
M16 0FG,53.456838,-2.27405
M16 0FH,53.452813,-2.277066
M16 0FJ,53.456182,-2.274001
M16 0FL,53.454324,-2.276534
M16 0FN,53.450668,-2.275682
M16 0FP,53.451898,-2.276353
M16 0FQ,53.456838,-2.27405
M16 0FR,53.45234,-2.275527
M16 0FS,53.452337,-2.277033
M16 0FT,53.454238,-2.274937
M16 0FU,53.451739,-2.279002
M16 0FW,53.451172,-2.275414
M16 0FX,53.450653,-2.282247
M16 0FY,53.449737,-2.281593
M16 0FZ,53.449969,-2.282227
M16 0GA,53.450979,-2.276964
M16 0GB,53.45446,-2.27548
M16 0GD,53.458795,-2.286292
M16 0GE,53.45331,-2.275805
M16 0GF,53.449641,-2.280418
M16 0GG,53.449146,-2.284375
M16 0GH,53.453505,-2.28079
M16 0GJ,53.451926,-2.279786
M16 0GL,53.463543,-2.281866
M16 0GN,53.457321,-2.262773
M16 0GP,53.45999,-2.286857
M16 0GQ,53.452259,-2.283372
M16 0GR,53.453979,-2.281652
M16 0GS,53.459437,-2.285001
M16 0GT,53.461304,-2.286128
M16 0GU,53.461668,-2.287757
M16 0GW,53.46121,-2.287227
M16 0GX,53.460401,-2.287628
