postcode,lat,long
BL0 0AA,53.647755,-2.312381
BL0 0AB,53.647989,-2.312474
BL0 0AD,53.649155,-2.313284
BL0 0AE,53.650251,-2.313003
BL0 0AG,53.647331,-2.30967
BL0 0AH,53.649237,-2.312907
BL0 0AJ,53.647542,-2.303785
BL0 0AL,53.647645,-2.310051
BL0 0AN,53.644648,-2.308077
BL0 0AP,53.646837,-2.309334
BL0 0AQ,53.64708,-2.309426
BL0 0AR,53.646442,-2.309437
BL0 0AS,53.644735,-2.309076
BL0 0AT,53.646597,-2.308394
BL0 0AU,53.647318,-2.30784
BL0 0AW,53.644676,-2.307563
BL0 0AX,53.647416,-2.304724
BL0 0AY,53.647639,-2.30527
BL0 0AZ,53.647587,-2.308129
BL0 0BA,53.64867,-2.309635
BL0 0BB,53.650733,-2.310556
BL0 0BD,53.650021,-2.30851
BL0 0BE,53.650115,-2.307225
BL0 0BG,53.650038,-2.308994
BL0 0BH,53.6488,-2.307956
BL0 0BJ,53.647925,-2.309206
BL0 0BL,53.648269,-2.304942
BL0 0BN,53.648399,-2.309661
BL0 0BQ,53.651352,-2.308353
BL0 0BS,53.646288,-2.313429
BL0 0BT,53.647077,-2.310364
BL0 0BU,53.647939,-2.310218
BL0 0BY,53.645423,-2.306979
BL0 0BZ,53.645554,-2.30527
BL0 0DA,53.644852,-2.305538
BL0 0DB,53.644647,-2.304765
BL0 0DD,53.646013,-2.301401
BL0 0DE,53.649081,-2.303571
BL0 0DF,53.649881,-2.303849
BL0 0DG,53.652414,-2.3042
BL0 0DH,53.646834,-2.303691
BL0 0DJ,53.647322,-2.302515
BL0 0DL,53.647993,-2.303957
BL0 0DN,53.653162,-2.303631
BL0 0DP,53.650004,-2.304181
BL0 0DQ,53.653977,-2.30108
BL0 0DR,53.65165,-2.304497
BL0 0DS,53.652422,-2.304609
BL0 0DT,53.645477,-2.320654
BL0 0DU,53.652519,-2.308816
BL0 0DW,53.652444,-2.303172
BL0 0DX,53.653018,-2.303554
BL0 0DZ,53.653317,-2.302739
BL0 0EA,53.653074,-2.302949
BL0 0ED,53.654923,-2.30387
BL0 0EE,53.654917,-2.302751
BL0 0EF,53.655401,-2.303314
BL0 0EG,53.660182,-2.303318
BL0 0EH,53.655868,-2.303151
BL0 0EJ,53.655927,-2.304012
BL0 0EL,53.65524,-2.302935
BL0 0EP,53.657064,-2.303008
BL0 0EQ,53.661411,-2.303446
BL0 0ER,53.658024,-2.303741
BL0 0ES,53.66311,-2.303444
BL0 0FA,53.592627,-2.310206
BL0 0FH,53.592627,-2.310206
BL0 0FN,53.592627,-2.310206
BL0 0FR,53.592627,-2.310206
BL0 0FW,53.592627,-2.310206
BL0 0FX,53.592627,-2.310206
BL0 0FY,53.592627,-2.310206
BL0 0FZ,53.592627,-2.310206
BL0 0GA,53.592627,-2.310206
BL0 0GB,53.592627,-2.310206
BL0 0GD,53.592627,-2.310206
BL0 0GE,53.592627,-2.310206
BL0 0HD,53.650143,-2.303064
BL0 0HH,53.653841,-2.30176
BL0 0ND,53.658611,-2.309753
BL0 0PP,53.652463,-2.316743
BL0 0PR,53.654054,-2.31674
BL0 0PS,53.654396,-2.316243
BL0 0PT,53.651701,-2.315996
BL0 0PU,53.651789,-2.316708
BL0 0PX,53.652906,-2.315733
BL0 0RJ,53.665595,-2.29824
BL0 0RX,53.65891,-2.294608
BL0 0RZ,53.663338,-2.295941
BL0 0SE,53.654509,-2.304079
BL0 0SF,53.592627,-2.310206
BL0 0SQ,53.654509,-2.304079
BL0 0WA,53.592627,-2.310206
BL0 0WW,53.592627,-2.310206
BL0 0WX,53.592627,-2.310206
BL0 0WY,53.592627,-2.310206
BL0 0WZ,53.592627,-2.310206
BL0 0XB,53.592627,-2.310206
BL0 0YX,53.592627,-2.310206
BL0 0YY,53.592627,-2.310206
BL0 0ZW,53.592627,-2.310206
BL0 9AA,53.64725,-2.316613
BL0 9AB,53.648025,-2.314923
BL0 9AD,53.648578,-2.317546
BL0 9AE,53.64913,-2.319381
BL0 9AF,53.648285,-2.319435
BL0 9AG,53.648478,-2.317878
BL0 9AH,53.649356,-2.322181
BL0 9AJ,53.649239,-2.318245
BL0 9AL,53.646714,-2.315323
BL0 9AN,53.6477,-2.316435
BL0 9AP,53.635855,-2.315893
BL0 9AQ,53.648042,-2.316271
BL0 9AR,53.592627,-2.310206
BL0 9AS,53.647133,-2.316005
BL0 9AT,53.648126,-2.318208
BL0 9AU,53.642811,-2.316217
BL0 9AW,53.645879,-2.318464
BL0 9AX,53.644739,-2.317714
BL0 9AY,53.645862,-2.317889
BL0 9AZ,53.646145,-2.316454
BL0 9BA,53.64811,-2.317633
BL0 9BB,53.647211,-2.317869
BL0 9BD,53.646807,-2.317699
BL0 9BE,53.647381,-2.317885
BL0 9BF,53.592627,-2.310206
BL0 9BG,53.64835,-2.315441
BL0 9BH,53.647497,-2.318173
BL0 9BJ,53.647957,-2.317632
BL0 9BL,53.648109,-2.31789
BL0 9BN,53.648905,-2.315262
BL0 9BP,53.648493,-2.315579
BL0 9BQ,53.648287,-2.315123
BL0 9BR,53.649291,-2.316492
BL0 9BS,53.649028,-2.317141
BL0 9BT,53.650315,-2.316666
BL0 9BU,53.651212,-2.317293
BL0 9BW,53.649059,-2.31578
BL0 9BX,53.652487,-2.317772
BL0 9BY,53.650688,-2.317621
BL0 9BZ,53.647926,-2.315983
BL0 9DA,53.65218,-2.318299
BL0 9DB,53.644822,-2.317185
BL0 9DD,53.64878,-2.319287
BL0 9DE,53.638563,-2.318287
BL0 9DF,53.637396,-2.317825
BL0 9DG,53.651463,-2.320715
BL0 9DH,53.648736,-2.318742
BL0 9DJ,53.64944,-2.31784
BL0 9DL,53.652666,-2.32148
BL0 9DN,53.651066,-2.321468
BL0 9DP,53.652565,-2.322251
BL0 9DQ,53.652011,-2.32084
BL0 9DR,53.650898,-2.323205
BL0 9DS,53.65194,-2.323349
BL0 9DT,53.649996,-2.321687
BL0 9DU,53.649081,-2.321029
BL0 9DW,53.650744,-2.320163
BL0 9DX,53.647726,-2.320005
BL0 9DY,53.648195,-2.319495
BL0 9DZ,53.647012,-2.318109
BL0 9EA,53.646333,-2.31998
BL0 9EB,53.646413,-2.320495
BL0 9ED,53.647606,-2.32126
BL0 9EE,53.648529,-2.322296
BL0 9EF,53.647613,-2.322092
BL0 9EG,53.64967,-2.322516
