oa11cd,lsoa11cd,lsoa11nm,msoa11cd,msoa11nm,lad11cd,lad11nm
E00024141,E01004771,Bolton 003C,E02000986,Bolton 003,E08000001,Bolton
E00024142,E01004770,Bolton 003B,E02000986,Bolton 003,E08000001,Bolton
E00024143,E01004767,Bolton 005B,E02000988,Bolton 005,E08000001,Bolton
E00024144,E01004769,Bolton 003A,E02000986,Bolton 003,E08000001,Bolton
E00024145,E01004771,Bolton 003C,E02000986,Bolton 003,E08000001,Bolton
E00024146,E01004770,Bolton 003B,E02000986,Bolton 003,E08000001,Bolton
E00024147,E01004769,Bolton 003A,E02000986,Bolton 003,E08000001,Bolton
E00024148,E01004772,Bolton 005C,E02000988,Bolton 005,E08000001,Bolton
E00024150,E01004772,Bolton 005C,E02000988,Bolton 005,E08000001,Bolton
E00024151,E01004772,Bolton 005C,E02000988,Bolton 005,E08000001,Bolton
E00024152,E01004772,Bolton 005C,E02000988,Bolton 005,E08000001,Bolton
E00024153,E01004773,Bolton 003D,E02000986,Bolton 003,E08000001,Bolton
E00024154,E01004773,Bolton 003D,E02000986,Bolton 003,E08000001,Bolton
E00024155,E01004774,Bolton 005D,E02000988,Bolton 005,E08000001,Bolton
E00024156,E01004774,Bolton 005D,E02000988,Bolton 005,E08000001,Bolton
E00024157,E01004770,Bolton 003B,E02000986,Bolton 003,E08000001,Bolton
E00024158,E01004772,Bolton 005C,E02000988,Bolton 005,E08000001,Bolton
E00024159,E01004770,Bolton 003B,E02000986,Bolton 003,E08000001,Bolton
E00024160,E01004773,Bolton 003D,E02000986,Bolton 003,E08000001,Bolton
E00024161,E01004774,Bolton 005D,E02000988,Bolton 005,E08000001,Bolton
E00024162,E01004773,Bolton 003D,E02000986,Bolton 003,E08000001,Bolton
E00024163,E01004772,Bolton 005C,E02000988,Bolton 005,E08000001,Bolton
E00024164,E01004774,Bolton 005D,E02000988,Bolton 005,E08000001,Bolton
E00024165,E01004766,Bolton 005A,E02000988,Bolton 005,E08000001,Bolton
E00024166,E01004774,Bolton 005D,E02000988,Bolton 005,E08000001,Bolton
E00024167,E01004767,Bolton 005B,E02000988,Bolton 005,E08000001,Bolton
E00024168,E01004767,Bolton 005B,E02000988,Bolton 005,E08000001,Bolton
E00024169,E01004766,Bolton 005A,E02000988,Bolton 005,E08000001,Bolton
E00024170,E01004766,Bolton 005A,E02000988,Bolton 005,E08000001,Bolton
E00024171,E01004766,Bolton 005A,E02000988,Bolton 005,E08000001,Bolton
E00024172,E01004767,Bolton 005B,E02000988,Bolton 005,E08000001,Bolton
E00024173,E01004766,Bolton 005A,E02000988,Bolton 005,E08000001,Bolton
E00024174,E01004767,Bolton 005B,E02000988,Bolton 005,E08000001,Bolton
E00024175,E01004766,Bolton 005A,E02000988,Bolton 005,E08000001,Bolton
E00024176,E01004771,Bolton 003C,E02000986,Bolton 003,E08000001,Bolton
E00024177,E01004768,Bolton 001A,E02000984,Bolton 001,E08000001,Bolton
E00024178,E01004768,Bolton 001A,E02000984,Bolton 001,E08000001,Bolton
E00024179,E01004768,Bolton 001A,E02000984,Bolton 001,E08000001,Bolton
E00024180,E01004769,Bolton 003A,E02000986,Bolton 003,E08000001,Bolton
E00024181,E01004768,Bolton 001A,E02000984,Bolton 001,E08000001,Bolton
E00024182,E01004768,Bolton 001A,E02000984,Bolton 001,E08000001,Bolton
E00024183,E01004769,Bolton 003A,E02000986,Bolton 003,E08000001,Bolton
E00024184,E01004771,Bolton 003C,E02000986,Bolton 003,E08000001,Bolton
E00024185,E01004769,Bolton 003A,E02000986,Bolton 003,E08000001,Bolton
E00024186,E01004770,Bolton 003B,E02000986,Bolton 003,E08000001,Bolton
E00024187,E01004771,Bolton 003C,E02000986,Bolton 003,E08000001,Bolton
E00024188,E01004775,Bolton 014A,E02000997,Bolton 014,E08000001,Bolton
E00024189,E01004775,Bolton 014A,E02000997,Bolton 014,E08000001,Bolton
E00024190,E01004778,Bolton 009A,E02000992,Bolton 009,E08000001,Bolton
E00024191,E01004782,Bolton 009C,E02000992,Bolton 009,E08000001,Bolton
E00024192,E01004782,Bolton 009C,E02000992,Bolton 009,E08000001,Bolton
E00024193,E01004783,Bolton 009D,E02000992,Bolton 009,E08000001,Bolton
E00024194,E01004783,Bolton 009D,E02000992,Bolton 009,E08000001,Bolton
E00024195,E01004780,Bolton 009B,E02000992,Bolton 009,E08000001,Bolton
E00024196,E01004783,Bolton 009D,E02000992,Bolton 009,E08000001,Bolton
E00024197,E01004783,Bolton 009D,E02000992,Bolton 009,E08000001,Bolton
E00024198,E01004783,Bolton 009D,E02000992,Bolton 009,E08000001,Bolton
E00024199,E01004780,Bolton 009B,E02000992,Bolton 009,E08000001,Bolton
E00024200,E01004778,Bolton 009A,E02000992,Bolton 009,E08000001,Bolton
E00024201,E01004778,Bolton 009A,E02000992,Bolton 009,E08000001,Bolton
E00024202,E01004778,Bolton 009A,E02000992,Bolton 009,E08000001,Bolton
E00024203,E01004782,Bolton 009C,E02000992,Bolton 009,E08000001,Bolton
E00024204,E01004780,Bolton 009B,E02000992,Bolton 009,E08000001,Bolton
E00024205,E01004780,Bolton 009B,E02000992,Bolton 009,E08000001,Bolton
E00024206,E01004782,Bolton 009C,E02000992,Bolton 009,E08000001,Bolton
E00024207,E01004779,Bolton 007A,E02000990,Bolton 007,E08000001,Bolton
E00024208,E01004777,Bolton 004A,E02000987,Bolton 004,E08000001,Bolton
E00024210,E01004781,Bolton 007B,E02000990,Bolton 007,E08000001,Bolton
E00024211,E01004775,Bolton 014A,E02000997,Bolton 014,E08000001,Bolton
E00024212,E01004777,Bolton 004A,E02000987,Bolton 004,E08000001,Bolton
E00024213,E01004777,Bolton 004A,E02000987,Bolton 004,E08000001,Bolton
E00024215,E01004777,Bolton 004A,E02000987,Bolton 004,E08000001,Bolton
E00024216,E01004779,Bolton 007A,E02000990,Bolton 007,E08000001,Bolton
E00024217,E01004779,Bolton 007A,E02000990,Bolton 007,E08000001,Bolton
E00024218,E01004777,Bolton 004A,E02000987,Bolton 004,E08000001,Bolton
E00024219,E01004779,Bolton 007A,E02000990,Bolton 007,E08000001,Bolton
E00024220,E01004781,Bolton 007B,E02000990,Bolton 007,E08000001,Bolton
E00024221,E01004781,Bolton 007B,E02000990,Bolton 007,E08000001,Bolton
E00024222,E01004781,Bolton 007B,E02000990,Bolton 007,E08000001,Bolton
